csu,variable,shock,horizon,irf
aave_v2_polygon,liquidation,liquidation_shock,26,0.00737962281906393
aave_v2_polygon,liquidation,liquidation_shock,27,0.006384075465701431
aave_v2_polygon,liquidation,liquidation_shock,28,0.005522857301534679
aave_v2_polygon,liquidation,liquidation_shock,29,0.0047778408413484096
aave_v2_polygon,liquidation,liquidation_shock,30,0.0041333276958420056
aave_v3_arbitrum,basket_return,return_shock,0,0.9775355281273391
aave_v3_arbitrum,basket_return,return_shock,1,-0.056520365532893926
aave_v3_arbitrum,basket_return,return_shock,2,0.057036683793729996
aave_v3_arbitrum,basket_return,return_shock,3,-0.04204241515853574
aave_v3_arbitrum,basket_return,return_shock,4,-0.003853442330047051
aave_v3_arbitrum,basket_return,return_shock,5,-0.01111799408494933
aave_v3_arbitrum,basket_return,return_shock,6,-0.0016000739430281719
aave_v3_arbitrum,basket_return,return_shock,7,-0.001960807311632904
aave_v3_arbitrum,basket_return,return_shock,8,-0.00016681662243905638
aave_v3_arbitrum,basket_return,return_shock,9,-0.0002472205333511779
aave_v3_arbitrum,basket_return,return_shock,10,2.160310383800853e-05
aave_v3_arbitrum,basket_return,return_shock,11,-1.9140421744204518e-05
aave_v3_arbitrum,basket_return,return_shock,12,1.325741431074306e-05
aave_v3_arbitrum,basket_return,return_shock,13,1.3015143153078117e-07
aave_v3_arbitrum,basket_return,return_shock,14,3.328640364803573e-06
aave_v3_arbitrum,basket_return,return_shock,15,2.610675049836911e-07
aave_v3_arbitrum,basket_return,return_shock,16,5.846464774698766e-07
aave_v3_arbitrum,basket_return,return_shock,17,1.5523723453561693e-08
aave_v3_arbitrum,basket_return,return_shock,18,7.662236327430085e-08
aave_v3_arbitrum,basket_return,return_shock,19,-1.0668512522560724e-08
aave_v3_arbitrum,basket_return,return_shock,20,7.000146138398561e-09
aave_v3_arbitrum,basket_return,return_shock,21,-4.352279374405748e-09
aave_v3_arbitrum,basket_return,return_shock,22,3.0387761277203076e-10
aave_v3_arbitrum,basket_return,return_shock,23,-1.0235084241733885e-09
aave_v3_arbitrum,basket_return,return_shock,24,-9.736160644230758e-12
aave_v3_arbitrum,basket_return,return_shock,25,-1.788423663231564e-10
