csu,variable,shock,horizon,irf
aave_v3_arbitrum,basket_return,liquidation_shock,21,-1.1156754225725243e-09
aave_v3_arbitrum,basket_return,liquidation_shock,22,2.760454275723729e-09
aave_v3_arbitrum,basket_return,liquidation_shock,23,-1.234530692627952e-10
aave_v3_arbitrum,basket_return,liquidation_shock,24,4.515379927967984e-10
aave_v3_arbitrum,basket_return,liquidation_shock,25,-4.9962997010113064e-11
aave_v3_arbitrum,basket_return,liquidation_shock,26,5.989421520294332e-11
aave_v3_arbitrum,basket_return,liquidation_shock,27,-1.740149688723371e-11
aave_v3_arbitrum,basket_return,liquidation_shock,28,6.543735933761662e-12
aave_v3_arbitrum,basket_return,liquidation_shock,29,-4.41610842543755e-12
aave_v3_arbitrum,basket_return,liquidation_shock,30,6.60683991082486e-13
aave_v3_arbitrum,liquidation,return_shock,0,-0.03932278237881081
aave_v3_arbitrum,liquidation,return_shock,1,-0.036434274715218096
aave_v3_arbitrum,liquidation,return_shock,2,-0.01404690813946722
aave_v3_arbitrum,liquidation,return_shock,3,-0.008369449356171108
aave_v3_arbitrum,liquidation,return_shock,4,-0.002411127287233993
aave_v3_arbitrum,liquidation,return_shock,5,-0.0011704318679400284
aave_v3_arbitrum,liquidation,return_shock,6,-0.00020081685120870312
aave_v3_arbitrum,liquidation,return_shock,7,-8.569300350852967e-05
aave_v3_arbitrum,liquidation,return_shock,8,1.852876388438144e-05
aave_v3_arbitrum,liquidation,return_shock,9,6.575199851770922e-06
aave_v3_arbitrum,liquidation,return_shock,10,1.0729942598023875e-05
aave_v3_arbitrum,liquidation,return_shock,11,3.3846702577409454e-06
aave_v3_arbitrum,liquidation,return_shock,12,2.333204513563174e-06
aave_v3_arbitrum,liquidation,return_shock,13,5.873368872061824e-07
aave_v3_arbitrum,liquidation,return_shock,14,3.272347959542983e-07
aave_v3_arbitrum,liquidation,return_shock,15,4.4405763706514127e-08
aave_v3_arbitrum,liquidation,return_shock,16,2.5600987275185766e-08
aave_v3_arbitrum,liquidation,return_shock,17,-6.379908678874093e-09
aave_v3_arbitrum,liquidation,return_shock,18,-1.217959613841064e-09
aave_v3_arbitrum,liquidation,return_shock,19,-3.0811483230733997e-09
aave_v3_arbitrum,liquidation,return_shock,20,-7.999241243910968e-10
aave_v3_arbitrum,liquidation,return_shock,21,-6.565056472015279e-10
aave_v3_arbitrum,liquidation,return_shock,22,-1.3800531036967034e-10
aave_v3_arbitrum,liquidation,return_shock,23,-9.301620463454346e-11
aave_v3_arbitrum,liquidation,return_shock,24,-8.674748748418707e-12
aave_v3_arbitrum,liquidation,return_shock,25,-7.869888109233838e-12
aave_v3_arbitrum,liquidation,return_shock,26,2.212726232622757e-12
aave_v3_arbitrum,liquidation,return_shock,27,1.2843903745860276e-13
aave_v3_arbitrum,liquidation,return_shock,28,9.023791814880727e-13
aave_v3_arbitrum,liquidation,return_shock,29,1.7674155947077479e-13
aave_v3_arbitrum,liquidation,return_shock,30,1.880423290994285e-13
aave_v3_arbitrum,liquidation,liquidation_shock,0,0.701554595909343
aave_v3_arbitrum,liquidation,liquidation_shock,1,0.1690232920509872
aave_v3_arbitrum,liquidation,liquidation_shock,2,0.11733074519524926
aave_v3_arbitrum,liquidation,liquidation_shock,3,0.026436198009197744
aave_v3_arbitrum,liquidation,liquidation_shock,4,0.014154938912337786
aave_v3_arbitrum,liquidation,liquidation_shock,5,0.0012133652758565293
aave_v3_arbitrum,liquidation,liquidation_shock,6,0.0007617525256160824
aave_v3_arbitrum,liquidation,liquidation_shock,7,-0.0004933800825777027
aave_v3_arbitrum,liquidation,liquidation_shock,8,-0.00013255815045023808
aave_v3_arbitrum,liquidation,liquidation_shock,9,-0.00017005010215337307
aave_v3_arbitrum,liquidation,liquidation_shock,10,-4.470632301223049e-05
aave_v3_arbitrum,liquidation,liquidation_shock,11,-3.2071912065787084e-05
aave_v3_arbitrum,liquidation,liquidation_shock,12,-6.298843127234009e-06
aave_v3_arbitrum,liquidation,liquidation_shock,13,-4.020324267356786e-06
aave_v3_arbitrum,liquidation,liquidation_shock,14,-1.799132381774147e-07
aave_v3_arbitrum,liquidation,liquidation_shock,15,-2.52163919870479e-07
aave_v3_arbitrum,liquidation,liquidation_shock,16,1.5491519990221584e-07
aave_v3_arbitrum,liquidation,liquidation_shock,17,2.5934176605198896e-08
aave_v3_arbitrum,liquidation,liquidation_shock,18,4.902520688764135e-08
aave_v3_arbitrum,liquidation,liquidation_shock,19,1.0172605312140207e-08
aave_v3_arbitrum,liquidation,liquidation_shock,20,9.148295600339713e-09
aave_v3_arbitrum,liquidation,liquidation_shock,21,1.3703472096327685e-09
aave_v3_arbitrum,liquidation,liquidation_shock,22,1.1745078814591546e-09
aave_v3_arbitrum,liquidation,liquidation_shock,23,-4.049200902364829e-12
aave_v3_arbitrum,liquidation,liquidation_shock,24,8.580962260092302e-11
aave_v3_arbitrum,liquidation,liquidation_shock,25,-4.9755102739481885e-11
aave_v3_arbitrum,liquidation,liquidation_shock,26,-3.487009622920502e-12
aave_v3_arbitrum,liquidation,liquidation_shock,27,-1.4432988731292774e-11
aave_v3_arbitrum,liquidation,liquidation_shock,28,-2.089417495632994e-12
aave_v3_arbitrum,liquidation,liquidation_shock,29,-2.663648236672685e-12
aave_v3_arbitrum,liquidation,liquidation_shock,30,-2.5601682447791235e-13
aave_v3_avalanche,basket_return,return_shock,0,0.4048230881513326
aave_v3_avalanche,basket_return,return_shock,1,-0.015976212426000662
aave_v3_avalanche,basket_return,return_shock,2,0.003984625951079575
aave_v3_avalanche,basket_return,return_shock,3,0.00030326557074415305
aave_v3_avalanche,basket_return,return_shock,4,0.00010244864687017278
aave_v3_avalanche,basket_return,return_shock,5,1.8694297984510267e-05
aave_v3_avalanche,basket_return,return_shock,6,4.130204666205332e-06
aave_v3_avalanche,basket_return,return_shock,7,8.523714177079318e-07
aave_v3_avalanche,basket_return,return_shock,8,1.8006186989817938e-07
aave_v3_avalanche,basket_return,return_shock,9,3.773057496165617e-08
aave_v3_avalanche,basket_return,return_shock,10,7.928341003555804e-09
aave_v3_avalanche,basket_return,return_shock,11,1.6643693521468942e-09
aave_v3_avalanche,basket_return,return_shock,12,3.4951271035768095e-10
aave_v3_avalanche,basket_return,return_shock,13,7.338811674290398e-11
aave_v3_avalanche,basket_return,return_shock,14,1.541011890756051e-11
aave_v3_avalanche,basket_return,return_shock,15,3.235788945585365e-12
aave_v3_avalanche,basket_return,return_shock,16,6.794483965624488e-13
